,Abstract,questions,AMES
0,"Cancer is one of the most diagnosed and life threatening disease throughout the world. Nevertheless present day clinical management for cancers are surgery, radiations which are insufficient to contain the disease burden. In the past two decades, more than half of chemotherapeutic drugs developed are either directly or indirectly dependent on medicinal base phytocompounds or their derivative. The present study aims to provide the base for chemotherapeutic phytochemicals. Fagonia indica showed significant antimutagenic potential with reference to control IC 50  values were calculated as 146.33±5.2μg/ml, TA100 (AZS) 105.33±4.0μg/ml, TA98 (2AA) 113.6±5.2μg/ml followed and TA98 (AZS) 112.6±4.4 in Ames test. For this reason, the antiproliferation effect of extracts on cancer cell lines was studied through resazurin fluorescence. On HepG-2 cell lines 50% cytotoxic concentration (CC 50 ) of (FIWM) was recorded as 128.3±,2.43μg/ml. On the homo sapiens epithelial cell of lung tissue (A549), the high throughput instrumental analysis of Fagonia indica depicts maximum cytotoxic effect in 30hr. The electrical impedance displays the real-time evidence about qualitative apoptosis expressed. The impedance results were supported as palmitic acid from Fagonia indica virtually that inhibits Cyclin Dependent Kinase 2 (CDKs 2) in silico molecular docking studies. Fagonia indica extract possesses substantial antimutagenic, cytotoxic and anticancer activity which supports the potential of its phytochemicals for drug development.",Is AZS mutagenic for TA98 or TA100 strain?,False
1,"The genotoxicity of melamine was evaluated with the combined Pig-a mutation/micronucleus assay, the bacterial reverse mutation assay, and the in vitro cytokinesis-block micronucleus assay (CBMN). Five groups of six- to eight-week-old male Sprague-Dawley (SD) rats were given three daily doses of vehicle control (100% pure sesame oil), melamine (500, 1000, and 2000 mg/kg) or positive control (N-ethyl-N-nitrosourea, ENU, 20 mg/kg) by oral gavage. Peripheral blood was sampled pre-dose (day -1) and at time points up to day 60. Pig-a mutant frequencies were determined in total red blood cells (RBCs) and reticulocytes (RETs) as RBC(CD59-) and RET(CD59-) frequencies, on days -1, 15, 29 and 60, and micronucleus frequencies were measured in RETs on day 4. No significant increases in RBC(CD59-) or RET(CD59-) frequencies were observed for the melamine-treated group at any of the time points studied, but the positive control, ENU, induced statistically significant increases compared with the vehicle control. Similar results were obtained in the micronucleus assay. Melamine did not induce statistically significant increases in %MN-RET. In the bacterial reverse mutation assay, melamine was tested from 62.5 to 1000 μg/plate in tester strains TA97a, TA98, TA100, TA102, and TA1535, with and without metabolic activation, and no evidence of toxicity or mutagenicity was observed at any dose tested. In the in vitro CBMN assay, in Chinese hamster ovary (CHO) cells, melamine was tested (75, 150, and 300 μg/mL) in the presence and absence of S9 mix, and no positive increases in the number of cells containing micronuclei were seen. These results suggest that melamine does not exhibit significant genotoxic potential. These data could be valuable for risk assessment purposes and also for further characterizing the new in vivoPig-a gene mutation assay.",Is Melamine mutagenic for TA98 or TA100 or TA1535 or TA102 strain?,False
2,"The Salmonella/microsome assay is the most used assay for the evaluation of air particulate matter (PM) mutagenicity and a positive correlation between strain TA98 responses and benzo[a]pyrene (B[a]P) levels in PM has been found. However, it seems that the major causes of PM mutagenicity in this assay are the nitro and oxy-PAHs. Salmonella YG5161, a 30-times more responsive strain to B[a]P has been developed. To verify if YG5161 strain was sufficiently sensitive to detect mutagenicity associated with B[a]P mutagenicity, PM samples were collected in Brazil and Sweden, extracted with toluene and tested in the Salmonella/microsome microsuspension assay. PAHs and B[a]P were determined and the extracts were tested with YG5161 and its parental strain TA1538. The extracts were also tested with YG1041 and its parental strain TA98. For sensitivity comparisons, we tested B[a]P and 1-nitropyrene (1-NP) using the same conditions. The minimal effective dose of B[a]P was 155 ng/plate for TA1538 and 7 ng/plate for YG5161. Although the maximum tested dose, 10 m(3) /plate containing 9 ng of B[a]P in the case of Brazilian sample, was sufficient to elicit a response in YG5161, mutagenicity was detected at a dose as low as 1 m(3) /plate (0.9 ng). This is probably caused by nitro-compounds that have been shown to be even more potent than B[a]P for YG5161. It seems that the mutagenicity of B[a]P present in PM is not detectable even with the use of YG5161 unless more efficient separation to remove the nitro-compounds from the PAH extract is performed.",Is 1-NP mutagenic for TA98 strain?,True
3,"We have designed and constructed a series of plasmids that contain the major and/or minor Escherichia coli nitroreductase genes, nfsA and nfsB, in different combinations with R plasmid mucA/B genes and the Salmonella typhimurium OAT gene. The plasmid encoded gene products are necessary for both the metabolic activation of a range of structurally diverse nitrosubstituted compounds, and for mutagenic translation bypass. Introduction of these plasmids into S. typhimurium TA1538 and TA1535 has created several new tester strains which exhibit an extremely high mutagenic sensitivity and a broad substrate specificity towards a battery of nitrosubstituted test compounds that included 4-nitroquinoline-1-oxide (4-NQO), nitrofurazone (NF), 1-nitropyrene (1-NP), 2-nitronaphthalene (2-NN), 2-nitrofluorene (2-NF), and 1,6-dinitropyrene (1,6-DNP). Our studies show that the nfsA gene encodes a product that is extremely effective in the metabolic activation of a range of structurally diverse nitrosubstituted compounds. Several of the new tester strains are more than two orders of magnitude more sensitive to nitrosubstituted compounds than the Ames tester strains TA100 or TA98. In addition to enhancing mutagenic sensitivity, plasmids encoding both metabolic and mutagenesis functions on a single plasmid provide considerable flexibility for future mechanistic studies or tester strain development, in which it may be necessary to introduce additional plasmids containing different antibiotic resistance markers.",Is 1-NP mutagenic for TA98 or TA100 or TA1535 strain?,True
4,"The antimutagenicity of ethanol extracts of bee glue (propolis) (EEBG) was evaluated, using Salmonella typhimurium strain TA98 as a test model, against two direct mutagens, 4-nitro-O-phenylenediamine (4-NO) and 1-nitropyrene (1-NP), and two indirect mutagens, 2-amino-3-methylimidazo[4,5-f]quinoline (IQ) and benzo[a]pyrene (B[a]P) with S9 mix. EEBG was shown to suppress the mutagenicity of these compounds in a dose-dependent fashion. To delineate the mechanism of action of the antimutagenic effects of EEBG on the two indirect mutagens IQ and B[a]P, two possible points of blocking were considered: (1) cytochrome P-450 activity (route 1) and (2) interaction with microsome-generated proximate mutagens to generate an inactive complex (route 2). Our results clearly demonstrated, at a very low dose, remarkable suppression of the mutagenicity of both compounds by inhibiting either route 1 or route 2 pathway. Further studies indicated that EEBG was capable of inhibiting both the activities of hepatic cytochrome P-450 IA1-linked 7-ethoxyresorufin-O-deethylase (EROD) and IA 2-linked 7-ethoxycoumarin-O-deethylase (ECD) in a similar dose-dependent manner. Taken together, we demonstrated that EEBG was a good inhibitor for mutagenicity of direct mutagens, 1-NP and 4-NO, as well as for the indirect mutagens IQ and B[a]P in the presence of S9 mix via inactivation of microsomal enzyme activities (e.g. EROD and ECD) or antagonizing metabolic generation of the proximate mutagens of IQ and B[a]P.",Is 1-NP mutagenic for TA98 strain?,True
5,"1-Nitropyrene (1-NP) is a mutagenic nitro compound in the environment. We studied correlations between the mutagenicity of 1-NP for three strains of Salmonella typhimurium, the activity of bacterial nitroreductases and the amount of 1-NP-derived DNA adducts. Bacterial strains used in this study were S. typhimurium strains TA98, nitroreductase-less mutant TA98NR and YG1021 carrying a nitroreductase-producing plasmid. The mutagenicity of 1-NP was measured using the Ames assay, and the nitroreductase activities of these strains were assayed by quantification of 1-aminopyrene produced from 1-NP. The DNA adducts were measured by the 32P-postlabeling method. Among the three bacterial strains, strain YG1021 was the highest in mutagenicity of 1-NP, the nitroreductase activity and the DNA adduct level. However, S. typhimurium strain TA98NR had the lowest values of these three parameters. Nitroreductase activity, DNA adduct level and mutagenicity were strongly correlated with each other. These results indicate that bacterial nitroreductase plays an important role in forming the DNA adducts, and that the higher the adduct level the higher the level of mutagenicity.",Is 1-NP mutagenic for TA98 strain?,True
6,"To determine the role of cysteine conjugate beta-lyase (beta-lyase) in the metabolism of mutagenic nitropolycyclic aromatic hydrocarbons, we determined the effect of beta-lyase on the mutagenicities and DNA binding of cysteine conjugates of 4,5-epoxy-4,5-dihydro-1-nitropyrene (1-NP 4,5-oxide) and 9,10-epoxy-9,10-dihydro-1-nitropyrene (1-NP 9,10-oxide), which are detoxified metabolites of the mutagenic compound 1-nitropyrene. We purified beta-lyase from Peptostreptococcus magnus GAI0663, since P. magnus is one of the constituents of the intestinal microflora and exhibits high levels of degrading activity with cysteine conjugates of 1-nitropyrene oxides (1-NP oxide-Cys). The activity of purified beta-lyase was optimal at pH 7.5 to 8.0, was completely inhibited by aminooxyacetic acid and hydroxylamine, and was eliminated by heating the enzyme at 55 degrees C for 5 min. The molecular weight of beta-lyase was 150,000, as determined by fast protein liquid chromatography. S-Arylcysteine conjugates were good substrates for this enzyme. As determined by the Salmonella mutagenicity test, 5 ng of beta-lyase protein increased the mutagenicity of the cysteine conjugate of 1-NP 9,10-oxide (10 nmol per plate) 4.5-fold in Salmonella typhimurium TA98 and 4.1-fold in strain TA100. However, beta-lyase had little effect on the cysteine conjugate of 1-NP 4,5-oxide (10 nmol per plate). Both conjugates exhibited only low levels of mutagenicity with nitroreductase-deficient strain TA98NR. In vitro binding of 1-NP oxide-Cys to calf thymus DNA was increased by adding purified beta-lyase or xanthine oxidase.(ABSTRACT TRUNCATED AT 250 WORDS)",Is 1-NP mutagenic for TA98 or TA100 strain?,True
7,"Distributions of 1,3-dinitropyrene (1,3-DNP), 1,6-DNP, 1,8-DNP, 1-nitropyrene (1-NP) and mutagenicity in airborne particulates collected in downtown Kanazawa, Japan with an Andersen high-volume air sampler were examined. Mutagenicities of benzene-ethanol extract from particulates were determined by the Ames test using S. typhimurium strains without S9 mix, while concentrations of DNPs and 1-NP were determined by high-performance liquid chromatography (HPLC) using chemiluminescence detection. In the finest particulate fraction (smaller than 1.1 microns), 68% and 75% of the total mutagenicities were observed in TA98 and YG1024 strains, respectively. In the same fraction, 65-82% of three DNPs as well as 84% of 1-NP were observed. Mutagenic contributions of 1,3-DNP, 1,6-DNP, 1,8-DNP and 1-NP in the extract were respectively 0.6, 1.2, 1.8 and 1.6% in the TA98 strain, and 2.5, 5, 9 and 2.1% in the YG1024 strain.",Is 1-NP mutagenic for TA98 strain?,True
8,"Polygonum cuspidatum S. (PC) is frequently used as a laxative and an anticancer drug in Chinese medicine. The inhibitory effect of this herb and its component, emodin, on the direct-acting mutagenicity of 1-nitropyrene (1-NP) was examined using the Ames/microsomal test with Salmonella typhimurium TA98 and the genotoxicity of 1-NP was evaluated using the SOS chromotest with E. coli PQ37. Emodin and water extracts of PC markedly decreased the mutagenicity of 1-NP in a dose-dependent manner in both assay systems. Furthermore, emodin and the extracts of PC significantly inhibited the formation of 1-NP DNA adducts in S. typhimurium TA98 in the 32P-postlabeling study. The results suggest that PC extracts and emodin act as blocking and/or suppressing agents to reduce the direct-acting mutagenicity of 1-NP.",Is 1-NP mutagenic for TA98 strain?,True
9,"The use of 1-nitropyrene (1-NP) as a marker for the occupational exposure to diesel exhaust (DE) mutagens was investigated in workplace atmospheres contaminated with DE from a variety of emission sources, such as power supplies, forklifts, trucks, caterpillar vehicles, trains, ships' engines, and vehicles in city traffic. Total suspended particulate matter was collected by area sampling. The 1-NP content of acetone extracts of these samples as determined by gas chromatography-high resolution mass spectrometry varied from 0.080 to 17 micrograms/g acetone extractable matter, corresponding to air concentrations of 0.012 to 1.2 ng/m3. A sample collected in a rural area contained 0.0017 ng/m3 1-NP. The mutagenicity of the extracts was tested in the Salmonella typhimurium strains TA98 and TA1538, using the microsuspension assay with and without metabolic activation by an exogeneous metabolizing system (rat liver S9-fraction). In addition, the S. typhimurium strains YG1021 and YG1024 were used because of their high sensitivity towards the mutagenicity of nitro polycyclic aromatic hydrocarbons. When plotting the mutagenic potency of the air sample extracts as determined in the absence of liver S9 versus the particle-associated 1-NP level, a relatively high correlation (r = 0.80-0.91) was observed in all of the S. typhimurium strains. High correlations (r = 0.80-0.93) were also observed when plotting the results of mutagenicity testing after activation by S9 versus the outcome of chemical analysis. These results show that the 1-NP content of workplace air samples is associated with their mutagenic potency, suggesting that 1-NP may be used as a marker for occupational exposure to DE-derived particle-associated mutagens.",Is 1-NP mutagenic for TA98 strain?,True
